Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
FAJÃO,27/08/1992 09:00,,0.0,,,Coimbra
FAJÃO,28/08/1992 09:00,,0.0,,,Coimbra
FAJÃO,29/08/1992 09:00,,0.0,,,Coimbra
FAJÃO,30/08/1992 09:00,,0.6,,,Coimbra
FAJÃO,31/08/1992 09:00,,0.4,,,Coimbra
FAJÃO,01/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,02/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,03/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,04/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,05/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,06/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,07/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,08/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,09/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,10/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,11/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,12/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,13/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,14/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,15/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,16/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,17/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,18/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,19/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,20/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,21/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,22/09/1992 09:00,,0.3,,,Coimbra
FAJÃO,23/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,24/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,25/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,26/09/1992 09:00,,0.8,,,Coimbra
FAJÃO,27/09/1992 09:00,,0.3,,,Coimbra
FAJÃO,28/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,29/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,30/09/1992 09:00,,0.0,,,Coimbra
FAJÃO,01/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,02/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,03/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,04/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,05/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,06/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,07/10/1992 09:00,,0.2,,,Coimbra
FAJÃO,08/10/1992 09:00,,0.6,,,Coimbra
FAJÃO,09/10/1992 09:00,,1.2,,,Coimbra
FAJÃO,10/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,11/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,12/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,13/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,14/10/1992 09:00,,0.2,,,Coimbra
FAJÃO,15/10/1992 09:00,,0.4,,,Coimbra
FAJÃO,16/10/1992 09:00,,1.8,,,Coimbra
FAJÃO,17/10/1992 09:00,,1.7,,,Coimbra
FAJÃO,18/10/1992 09:00,,0.4,,,Coimbra
FAJÃO,19/10/1992 09:00,,0.6,,,Coimbra
FAJÃO,20/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,21/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,22/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,23/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,24/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,25/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,26/10/1992 09:00,,9.0,,,Coimbra
FAJÃO,27/10/1992 09:00,,10.8,,,Coimbra
FAJÃO,28/10/1992 09:00,,16.2,,,Coimbra
FAJÃO,29/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,30/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,31/10/1992 09:00,,0.0,,,Coimbra
FAJÃO,01/11/1992 09:00,,0.2,,,Coimbra
FAJÃO,02/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,03/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,04/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,05/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,06/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,07/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,08/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,09/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,10/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,11/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,12/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,13/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,14/11/1992 09:00,,0.4,,,Coimbra
FAJÃO,15/11/1992 09:00,,10.6,,,Coimbra
FAJÃO,16/11/1992 09:00,,6.3,,,Coimbra
FAJÃO,17/11/1992 09:00,,2.6,,,Coimbra
FAJÃO,18/11/1992 09:00,,1.2,,,Coimbra
FAJÃO,19/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,20/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,21/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,22/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,23/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,24/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,25/11/1992 09:00,,4.0,,,Coimbra
FAJÃO,26/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,27/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,28/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,29/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,30/11/1992 09:00,,0.0,,,Coimbra
FAJÃO,01/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,02/12/1992 09:00,,0.6,,,Coimbra
FAJÃO,03/12/1992 09:00,,10.6,,,Coimbra
FAJÃO,04/12/1992 09:00,,11.3,,,Coimbra
FAJÃO,05/12/1992 09:00,,9.2,,,Coimbra
FAJÃO,06/12/1992 09:00,,22.9,,,Coimbra
FAJÃO,07/12/1992 09:00,,23.4,,,Coimbra
FAJÃO,08/12/1992 09:00,,6.5,,,Coimbra
FAJÃO,09/12/1992 09:00,,4.6,,,Coimbra
FAJÃO,10/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,11/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,12/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,13/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,14/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,15/12/1992 09:00,,0.1,,,Coimbra
FAJÃO,16/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,17/12/1992 09:00,,0.6,,,Coimbra
FAJÃO,18/12/1992 09:00,,1.8,,,Coimbra
FAJÃO,19/12/1992 09:00,,16.9,,,Coimbra
FAJÃO,20/12/1992 09:00,,11.9,,,Coimbra
FAJÃO,21/12/1992 09:00,,5.6,,,Coimbra
FAJÃO,22/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,23/12/1992 09:00,,0.2,,,Coimbra
FAJÃO,24/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,25/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,26/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,27/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,28/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,29/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,30/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,31/12/1992 09:00,,0.0,,,Coimbra
FAJÃO,01/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/01/1993 09:00,,0.3,,,Coimbra
FAJÃO,13/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/01/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/01/1993 09:00,,0.2,,,Coimbra
FAJÃO,30/01/1993 09:00,,10.6,,,Coimbra
FAJÃO,31/01/1993 09:00,,6.1,,,Coimbra
FAJÃO,01/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/02/1993 09:00,,2.4,,,Coimbra
FAJÃO,10/02/1993 09:00,,10.3,,,Coimbra
FAJÃO,11/02/1993 09:00,,8.6,,,Coimbra
FAJÃO,12/02/1993 09:00,,0.2,,,Coimbra
FAJÃO,13/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/02/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/03/1993 09:00,,0.3,,,Coimbra
FAJÃO,02/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/03/1993 09:00,,2.6,,,Coimbra
FAJÃO,12/03/1993 09:00,,1.7,,,Coimbra
FAJÃO,13/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/03/1993 09:00,,0.4,,,Coimbra
FAJÃO,24/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,30/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,31/03/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/04/1993 09:00,,0.6,,,Coimbra
FAJÃO,10/04/1993 09:00,,1.8,,,Coimbra
FAJÃO,11/04/1993 09:00,,2.6,,,Coimbra
FAJÃO,12/04/1993 09:00,,6.8,,,Coimbra
FAJÃO,13/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/04/1993 09:00,,2.3,,,Coimbra
FAJÃO,22/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/04/1993 09:00,,0.6,,,Coimbra
FAJÃO,24/04/1993 09:00,,0.9,,,Coimbra
FAJÃO,25/04/1993 09:00,,10.6,,,Coimbra
FAJÃO,26/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/04/1993 09:00,,9.5,,,Coimbra
FAJÃO,28/04/1993 09:00,,10.8,,,Coimbra
FAJÃO,29/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,30/04/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/05/1993 09:00,,0.6,,,Coimbra
FAJÃO,05/05/1993 09:00,,0.2,,,Coimbra
FAJÃO,06/05/1993 09:00,,0.8,,,Coimbra
FAJÃO,07/05/1993 09:00,,1.6,,,Coimbra
FAJÃO,08/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,13/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/05/1993 09:00,,1.8,,,Coimbra
FAJÃO,15/05/1993 09:00,,0.9,,,Coimbra
FAJÃO,16/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/05/1993 09:00,,0.4,,,Coimbra
FAJÃO,19/05/1993 09:00,,6.9,,,Coimbra
FAJÃO,20/05/1993 09:00,,21.6,,,Coimbra
FAJÃO,21/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/05/1993 09:00,,10.6,,,Coimbra
FAJÃO,24/05/1993 09:00,,36.2,,,Coimbra
FAJÃO,25/05/1993 09:00,,18.4,,,Coimbra
FAJÃO,26/05/1993 09:00,,12.1,,,Coimbra
FAJÃO,27/05/1993 09:00,,9.7,,,Coimbra
FAJÃO,28/05/1993 09:00,,0.9,,,Coimbra
FAJÃO,29/05/1993 09:00,,10.1,,,Coimbra
FAJÃO,30/05/1993 09:00,,0.0,,,Coimbra
FAJÃO,31/05/1993 09:00,,0.6,,,Coimbra
FAJÃO,01/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/06/1993 09:00,,16.4,,,Coimbra
FAJÃO,06/06/1993 09:00,,0.8,,,Coimbra
FAJÃO,07/06/1993 09:00,,0.3,,,Coimbra
FAJÃO,08/06/1993 09:00,,0.5,,,Coimbra
FAJÃO,09/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,13/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,30/06/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,13/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,30/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,31/07/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,07/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,13/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,30/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,31/08/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,02/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,03/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,04/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/09/1993 09:00,,0.4,,,Coimbra
FAJÃO,06/09/1993 09:00,,2.3,,,Coimbra
FAJÃO,07/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,08/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,09/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/09/1993 09:00,,0.2,,,Coimbra
FAJÃO,13/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/09/1993 09:00,,0.6,,,Coimbra
FAJÃO,16/09/1993 09:00,,2.1,,,Coimbra
FAJÃO,17/09/1993 09:00,,6.9,,,Coimbra
FAJÃO,18/09/1993 09:00,,18.3,,,Coimbra
FAJÃO,19/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/09/1993 09:00,,0.4,,,Coimbra
FAJÃO,21/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,29/09/1993 09:00,,0.3,,,Coimbra
FAJÃO,30/09/1993 09:00,,0.0,,,Coimbra
FAJÃO,01/10/1993 09:00,,0.2,,,Coimbra
FAJÃO,02/10/1993 09:00,,0.6,,,Coimbra
FAJÃO,03/10/1993 09:00,,1.4,,,Coimbra
FAJÃO,04/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/10/1993 09:00,,12.6,,,Coimbra
FAJÃO,07/10/1993 09:00,,14.9,,,Coimbra
FAJÃO,08/10/1993 09:00,,6.4,,,Coimbra
FAJÃO,09/10/1993 09:00,,36.9,,,Coimbra
FAJÃO,10/10/1993 09:00,,21.6,,,Coimbra
FAJÃO,11/10/1993 09:00,,8.6,,,Coimbra
FAJÃO,12/10/1993 09:00,,6.3,,,Coimbra
FAJÃO,13/10/1993 09:00,,2.4,,,Coimbra
FAJÃO,14/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,19/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,20/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,21/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,22/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,23/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,24/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,25/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,26/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,27/10/1993 09:00,,0.0,,,Coimbra
FAJÃO,28/10/1993 09:00,,28.9,,,Coimbra
FAJÃO,29/10/1993 09:00,,36.4,,,Coimbra
FAJÃO,30/10/1993 09:00,,19.8,,,Coimbra
FAJÃO,31/10/1993 09:00,,18.6,,,Coimbra
FAJÃO,01/11/1993 09:00,,10.9,,,Coimbra
FAJÃO,02/11/1993 09:00,,6.8,,,Coimbra
FAJÃO,03/11/1993 09:00,,4.3,,,Coimbra
FAJÃO,04/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,05/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,06/11/1993 09:00,,0.4,,,Coimbra
FAJÃO,07/11/1993 09:00,,0.1,,,Coimbra
FAJÃO,08/11/1993 09:00,,0.3,,,Coimbra
FAJÃO,09/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,10/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,11/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,12/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,13/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,14/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,15/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,16/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,17/11/1993 09:00,,0.0,,,Coimbra
FAJÃO,18/11/1993 09:00,,0.0,,,Coimbra
